country,variation
Afghanistan,100.0
Albania,5.5556
Algeria,45.4545
Angola,102.3256
Azerbaijan,22.7273
Argentina,22.1591
Australia,24.8387
Austria,-6.9841
Bangladesh,39.6226
Armenia,16.6667
Belgium,-0.4624
Bolivia,65.8537
Bosnia Herzegovina,-11.3636
Botswana,100.0
Brazil,20.5409
Belize,66.6667
Brunei Darussalam,0.0
Bulgaria,-20.0
Myanmar,14.2857
Burundi,140.0
Belarus,-2.0619
Cambodia,61.5385
Cameroon,103.7037
Canada,14.4615
Central African Republic,33.3333
Sri Lanka,0.0
Chile,17.3913
China,-8.9598
Colombia,26.9962
"Congo, Republic of",66.6667
"Congo, Democratic Republic of",87.931
Costa Rica,26.6667
Croatia,-15.0
Cuba,-20.0
Cyprus,23.8095
Czechia,-22.5352
Denmark,0.8681
Dominican Republic,33.3333
Ecuador,48.2759
El Salvador,0.0
Equatorial Guinea,200.0
Ethiopia,106.5217
Estonia,-8.5106
Fiji,0.0
Finland,4.1812
France (metropolitan),-3.2732
French Polynesia,25.0
Gabon,100.0
Georgia,-10.5263
The Republic of the Gambia,100.0
Gaza Strip and West Bank,75.0
Germany,-12.4613
Ghana,63.1579
Greece,-24.7191
"France, Guadeloupe",-33.3333
Guatemala,71.4286
Guinea,83.3333
Haiti,50.0
Honduras,83.3333
Hungary,-10.7317
Iceland,27.2727
India,41.9929
Indonesia,20.2532
Iran (Islamic Republic of),54.6512
Iraq,81.8182
Ireland,-0.8264
Israel,26.3736
Italy,-30.654
CÃ´te d'Ivoire,100.0
Jamaica,0.0
Japan,-23.9437
Kazakhstan,22.449
Jordan,62.5
Kenya,80.7692
Korea (Democratic People Republic of),-5.8824
Republic of Korea,-17.8571
Kuwait,33.3333
Kyrgyzstan,40.0
Lao People's Democratic Republic,66.6667
Lebanon,-35.2941
Lesotho,100.0
Latvia,-21.875
Liberia,50.0
Libya,37.5
Lithuania,-22.9167
Luxembourg,18.5185
Madagascar,81.8182
Malawi,114.8936
Malaysia,64.7059
Mali,94.4444
Malta,54.5455
"France, Martinique",-50.0
Mauritania,75.0
Mexico,22.9851
Mongolia,100.0
Moldova,-11.7647
Montenegro,0.0
Morocco,24.0
Oman,100.0
Namibia,66.6667
Nepal,50.0
The Netherlands,-3.5113
New Caledonia,0.0
New Zealand,14.1538
Nicaragua,60.0
Niger,85.7143
Nigeria,71.4286
Norway,9.9778
Pakistan,69.6429
Panama,22.2222
Papua New Guinea,77.193
Paraguay,55.8824
Peru,35.7895
Philippines,46.3415
Poland,13.1579
Portugal,-23.1638
Puerto Rico,0.0
Qatar,100.0
"France, La RÃ©union",0.0
Romania,-14.2384
Russian Federation,2.0979
Rwanda,107.6923
Saint Lucia,0.0
Saudi Arabia,54.5455
Senegal,81.25
Serbia,-25.4902
Singapore,0.0
Slovakia,0.7937
Viet Nam,20.0
Slovenia,-15.625
Somalia,85.7143
South Africa,50.4225
Zimbabwe,110.0
Spain,-23.8153
South Sudan,37.5
Sudan,82.3529
Eswatini,200.0
Sweden,12.6632
Switzerland,0.0
Syrian Arab Republic,100.0
Tajikistan,50.0
Thailand,-11.9565
Togo,83.3333
Trinidad and Tobago,0.0
United Arab Emirates,100.0
Tunisia,9.0909
TÃ¼rkiye,18.705
Turkmenistan,40.0
Uganda,105.1724
Ukraine,-15.3614
North Macedonia,0.0
Egypt,66.6667
United Kingdom,0.1382
"Tanzania, United Republic of",101.2195
United States of America,12.3564
Uruguay,5.8824
Uzbekistan,50.0
Venezuela,14.2857
Yemen,140.0
Zambia,120.0
